,movie_title,title_year,director_name,actor_1_name,duration,facenumber_in_poster,budget,gross,imdb_score,num_voted_users,num_user_for_reviews,num_critic_for_reviews,director_facebook_likes,movie_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes
735,Precious,2009,Lee Daniels,Mo'Nique,109,0.5,10000000,47536959,7.3,86955,275,323,304,12000,940,3277
736,White Squall,1996,Ridley Scott,Jeff Bridges,129,2.0,38000000,10300000,6.6,17859,89,37,0,911,12000,16237
738,Riddick,2013,David Twohy,Vin Diesel,127,0.5,38000000,41997790,6.4,125305,343,302,123,39000,14000,17551
739,Switchback,1997,Jeb Stuart,Gregory Scott Cummins,118,0.5,37000000,6482195,6.4,9740,81,38,11,389,37,74
741,City of Ember,2008,Gil Kenan,Bill Murray,90,0.5,55000000,7871693,6.5,52908,102,118,27,0,13000,15494
742,The Master,2012,Paul Thomas Anderson,Mike Howard,144,2.0,32000000,16377274,7.1,105144,405,546,0,27000,378,427
743,The Express,2008,Gary Fleder,Dennis Quaid,130,0.5,40000000,9589875,7.3,16673,45,86,39,0,2000,5162
745,Creed,2015,Ryan Coogler,Sylvester Stallone,133,0.5,35000000,109712885,7.7,146708,362,437,0,70000,13000,15106
746,The Town,2010,Ben Affleck,Jeremy Renner,150,2.0,37000000,92173235,7.6,280228,420,378,0,29000,10000,14296
748,Burn After Reading,2008,Ethan Coen,J.K. Simmons,96,0.5,37000000,60338891,7.0,248468,545,341,1000,0,24000,36093
749,Nim's Island,2008,Jennifer Flackett,Gerard Butler,96,2.0,37000000,48006503,6.0,28109,110,139,3,0,18000,18178
751,Magnolia,1999,Paul Thomas Anderson,Patton Oswalt,188,0.5,37000000,22450975,8.0,241030,1437,224,0,13000,786,1906
753,How to Be Single,2016,Christian Ditter,Alison Brie,110,2.0,38000000,46813366,6.1,39440,83,148,11,15000,2000,4882
754,Dolphin Tale,2011,Charles Martin Smith,Morgan Freeman,113,2.0,37000000,72279690,6.9,17948,86,131,188,0,11000,14209
755,John Q,2002,Nick Cassavetes,Denzel Washington,116,0.5,36000000,71026631,7.0,98899,394,129,415,0,18000,20970
756,Blue Streak,1999,Les Mayfield,Peter Greene,93,0.5,65000000,68208190,6.3,60572,144,40,10,0,789,2986
757,Breakdown,1997,Jonathan Mostow,Kathleen Quinlan,93,0.5,36000000,50129186,6.9,38399,218,72,84,0,551,1874
759,Hot Tub Time Machine,2010,Steve Pink,Charlie McDermott,101,2.0,36000000,50213619,6.4,139184,243,265,38,12000,496,1272
760,Dolphin Tale 2,2014,Charles Martin Smith,Morgan Freeman,107,0.5,36000000,42019483,6.4,6069,33,54,188,0,11000,13904
762,A Man Apart,2003,F. Gary Gray,Vin Diesel,109,0.5,36000000,26183197,6.1,38348,135,110,473,0,14000,16611
764,Ghosts of Mississippi,1996,Rob Reiner,Alexa PenaVega,130,0.5,36000000,13052741,6.7,8531,57,31,0,591,2000,3968
765,Snow Falling on Cedars,1999,Scott Hicks,Rick Yune,127,0.5,36000000,14378353,6.8,12375,194,95,96,846,746,2393
766,The Rite,2011,Mikael Hfstrm,Anthony Hopkins,114,0.5,37000000,33037754,6.0,75864,197,267,101,23000,12000,19904
767,Gattaca,1997,Andrew Niccol,Blair Underwood,106,2.0,36000000,12339633,7.8,220591,641,175,487,17000,685,1942
772,Horrible Bosses,2011,Seth Gordon,Kevin Spacey,106,2.0,35000000,117528646,6.9,353442,387,340,91,31000,18000,18669
773,The Devil Wears Prada,2006,David Frankel,Meryl Streep,109,0.5,35000000,124732962,6.8,286178,631,208,64,0,11000,23923
776,21,2008,Robert Luketic,Kevin Spacey,123,2.0,35000000,81159365,6.8,191470,278,144,126,0,18000,25661
778,The English Patient,1996,Anthony Minghella,Colin Firth,162,0.5,27000000,78651430,7.4,142067,457,116,333,0,14000,15912
780,Sky High,2005,Mike Mitchell,Michael Angarano,100,2.0,35000000,63939454,6.2,61321,217,127,31,0,947,2968
781,In & Out,1997,Frank Oz,Tom Selleck,90,0.5,35000000,63826569,6.3,32416,138,83,0,0,19000,23504
783,The Cell,2000,Tarsem Singh,Dylan Baker,109,0.5,33000000,61280963,6.3,79877,677,225,763,0,812,2474
784,The Man in the Iron Mask,1998,Randall Wallace,Leonardo DiCaprio,132,0.5,35000000,56876365,6.4,125219,244,83,130,0,29000,29265
785,Secretariat,2010,Randall Wallace,Scott Glenn,123,0.5,35000000,59699513,7.2,20827,136,160,130,0,826,2259
786,Radio,2003,Michael Tollin,Alfre Woodard,109,0.5,35000000,52277485,6.9,32370,196,74,19,0,1000,4231
787,Friends with Benefits,2011,Will Gluck,Mila Kunis,109,2.0,35000000,55802754,6.6,270228,194,238,87,41000,15000,20956
788,Neighbors 2: Sorority Rising,2016,Nicholas Stoller,Chlo Grace Moretz,92,0.5,35000000,55291815,6.0,28041,111,177,89,0,17000,17860
789,Saving Mr. Banks,2013,John Lee Hancock,Tom Hanks,125,2.0,35000000,83299761,7.5,117719,306,405,102,39000,15000,19809
791,This Is 40,2012,Judd Apatow,Charlyne Yi,134,2.0,35000000,67523385,6.2,104005,248,285,0,18000,529,1050
792,Underworld: Rise of the Lycans,2009,Patrick Tatopoulos,Craig Parker,92,0.5,35000000,45802315,6.6,119974,169,164,148,0,978,2184
795,Resident Evil,2002,Paul W.S. Anderson,Milla Jovovich,100,0.5,33000000,39532308,6.7,198701,1138,226,545,0,14000,17902
797,The Ladykillers,2004,Ethan Coen,J.K. Simmons,104,0.5,35000000,39692139,6.2,84131,400,193,1000,0,24000,41701
799,In Time,2011,Andrew Niccol,Matt Bomer,109,2.0,40000000,37553932,6.7,304318,463,360,487,52000,20000,34011
803,The Nativity Story,2006,Catherine Hardwicke,Keisha Castle-Hughes,101,0.5,30000000,37617947,6.8,8143,203,122,308,0,446,966
805,Closer,2004,Mike Nichols,Natalie Portman,98,2.0,27000000,33987757,7.3,168314,903,212,0,12000,20000,28027
806,J. Edgar,2011,Clint Eastwood,Leonardo DiCaprio,137,0.5,35000000,37304950,6.6,102728,279,392,16000,16000,29000,36258
807,Mirrors,2008,Alexandre Aja,Jason Flemyng,112,0.5,35000000,30691439,6.2,86205,232,208,192,5000,1000,3185
810,Untraceable,2008,Gregory Hoblit,Billy Burke,101,0.5,35000000,28687835,6.2,40964,245,195,40,0,2000,3612
811,Blast from the Past,1999,Hugh Wilson,Brendan Fraser,112,0.5,35000000,26494611,6.6,48621,239,95,37,0,3000,5709
812,Jersey Girl,2004,Kevin Smith,Stephen Root,102,2.0,35000000,25266129,6.2,54346,358,164,0,0,939,3592
814,Midnight in the Garden of Good and Evil,1997,Clint Eastwood,Kevin Spacey,155,2.0,30000000,25078937,6.6,31751,216,91,16000,0,18000,19689
815,Nanny McPhee Returns,2010,Susanna White,Daniel Mays,109,2.0,35000000,28995450,6.1,19230,59,97,24,0,287,855
818,Ella Enchanted,2004,Tommy O'Haver,Anne Hathaway,96,0.5,35000000,22913677,6.3,47800,244,89,13,0,11000,17292
819,Concussion,2015,Peter Landesman,Will Smith,123,0.5,35000000,34531832,7.1,44788,138,219,15,23000,10000,13371
822,Wonder Boys,2000,Curtis Hanson,Robert Downey Jr.,107,2.0,55000000,19389454,7.4,54643,335,173,161,0,21000,22974
824,Broken City,2013,Allen Hughes,Alona Tal,109,2.0,35000000,19692608,6.2,63548,134,298,90,0,1000,2073
826,Premium Rush,2012,David Koepp,Joseph Gordon-Levitt,91,0.5,35000000,20275446,6.5,95274,178,248,192,20000,23000,24669
828,The Four Feathers,2002,Shekhar Kapur,Djimon Hounsou,125,2.0,35000000,18306166,6.5,28130,215,105,159,0,3000,3142
829,Parker,2013,Taylor Hackford,Jason Statham,118,0.5,35000000,17609982,6.2,90046,141,224,138,17000,26000,28479
830,Wimbledon,2004,Richard Loncraine,Kirsten Dunst,98,0.5,31000000,16831505,6.3,51842,173,129,12,0,4000,9330
832,Lions for Lambs,2007,Robert Redford,Meryl Streep,92,2.0,35000000,14998070,6.2,41170,298,227,0,0,11000,32875
834,Walk Hard: The Dewey Cox Story,2007,Jake Kasdan,Tim Meadows,120,0.5,35000000,18317151,6.7,55630,200,171,52,0,553,1082
835,The Shipping News,2001,Lasse Hallstrm,Kevin Spacey,111,2.0,35000000,11405825,6.8,28542,208,119,529,0,18000,19805
836,American Outlaws,2001,Les Mayfield,Gregory Smith,94,2.0,35000000,13264986,6.0,12077,162,44,10,433,694,1668
837,The Young Victoria,2009,Jean-Marc Valle,Michiel Huisman,100,0.5,35000000,10991381,7.3,44931,100,188,212,0,2000,5890
839,The Tree of Life,2011,Terrence Malick,Brad Pitt,139,0.5,32000000,13303319,6.7,136367,975,584,0,39000,11000,13021
842,Punisher: War Zone,2008,Lexi Alexander,Julie Benz,103,0.5,35000000,7948159,6.0,48999,280,151,189,0,3000,6563
844,The Walk,2015,Robert Zemeckis,Joseph Gordon-Levitt,123,0.5,35000000,10137502,7.4,77394,195,335,0,24000,23000,23031
846,A Good Year,2006,Ridley Scott,Archie Panjabi,117,0.5,35000000,7458269,6.9,70698,196,147,0,9000,883,3611
849,Ride with the Devil,1999,Ang Lee,Jeremy W. Auman,148,0.5,35000000,630779,6.8,11101,159,95,0,633,3,5
850,The Maze Runner,2014,Wes Ball,Ki Hong Lee,113,0.5,34000000,102413606,6.8,310903,524,297,47,38000,988,1783
853,The Fountain,2006,Darren Aronofsky,Hugh Jackman,96,0.5,35000000,10139254,7.3,190990,915,274,0,23000,20000,24640
856,The Longest Ride,2015,George Tillman Jr.,Tiago Riani,128,0.5,34000000,37432299,7.1,50041,116,117,88,23000,989,3386
859,Mandela: Long Walk to Freedom,2013,Justin Chadwick,Terry Pheto,141,0.5,35000000,8324748,7.1,21223,108,211,56,13000,113,301
863,Step Up Revolution,2012,Scott Speer,Ryan Guzman,99,0.5,33000000,35057332,6.5,45394,72,121,35,19000,3000,4863
865,The Punisher,2004,Jonathan Hensleigh,Laura Harring,140,0.5,33000000,33682273,6.5,124242,622,192,36,4000,669,2114
866,Goal! The Dream Begins,2005,Danny Cannon,Sean Pertwee,118,0.5,10000000,4280577,6.8,50919,114,90,41,0,722,2859
867,Safe,2012,Boaz Yakin,Jason Statham,94,2.0,30000000,17120019,6.5,83097,134,258,132,12000,26000,27759
868,Pushing Tin,1999,Mike Newell,Angelina Jolie Pitt,124,2.0,38000000,8406264,6.0,24826,175,56,179,783,11000,13093
869,Doomsday,2008,Neil Marshall,Ryan Kruger,113,0.5,30000000,10955425,6.0,62770,396,254,197,0,165,391
870,The Reader,2008,Stephen Daldry,Kate Winslet,124,0.5,32000000,34180954,7.6,189812,370,299,335,15000,14000,14504
871,Phenomenon,1996,Jon Turteltaub,Robert Duvall,123,0.5,32000000,104632573,6.4,63839,118,53,226,0,3000,5975
874,This Is the End,2013,Evan Goldberg,Channing Tatum,107,2.0,32000000,101470202,6.7,310540,669,418,133,97000,17000,38751
875,Stigmata,1999,Rupert Wainwright,Nia Long,103,0.5,29000000,50041732,6.2,54390,398,131,9,0,826,3004
876,Men of Honor,2000,George Tillman Jr.,Robert De Niro,129,0.5,32000000,48814909,7.2,89424,224,98,88,0,22000,36069
877,Takers,2010,John Luessenhop,Paul Walker,107,2.0,20000000,57744720,6.2,46961,132,119,34,0,23000,31529
879,Source Code,2011,Duncan Jones,Jake Gyllenhaal,93,2.0,32000000,54696902,7.5,379462,571,522,0,56000,15000,16034
881,The Number 23,2007,Joel Schumacher,Logan Lerman,98,0.5,32000000,35063732,6.4,164608,383,224,541,10000,8000,10938
882,Dreamer: Inspired by a True Story,2005,John Gatins,Ken Howard,98,0.5,32000000,32701088,6.9,10018,108,75,61,0,649,1400
883,A History of Violence,2005,David Cronenberg,Viggo Mortensen,96,0.5,32000000,31493782,7.5,186606,1125,441,0,0,10000,12754
884,Bringing Out the Dead,1999,Martin Scorsese,Nicolas Cage,121,0.5,55000000,16640210,6.8,53028,382,163,17000,0,12000,13040
885,Repo Men,2010,Miguel Sapochnik,Alice Braga,119,0.5,32000000,13763130,6.3,87768,187,197,238,12000,1000,2925
888,Cats Don't Dance,1997,Mark Dindal,George Kennedy,75,0.5,32000000,3562749,6.9,5600,49,18,10,643,3000,7394
889,Cradle Will Rock,1999,Tim Robbins,Bill Murray,132,2.0,32000000,2899970,6.9,8039,161,70,0,625,13000,16878
890,The Good German,2006,Steven Soderbergh,Tony Curran,105,2.0,32000000,1304837,6.1,21481,175,183,0,559,845,2355
892,Going the Distance,2010,Nanette Burstein,Rob Riggle,102,0.5,32000000,17797316,6.3,50523,113,167,8,0,839,2961
893,Mr. Holland's Opus,1995,Stephen Herek,Alicia Witt,143,0.5,6500000,82528097,7.3,30230,154,42,65,0,975,2223
894,Criminal,2016,Ariel Vromen,Gary Oldman,113,2.0,31500000,14268533,6.3,17319,100,130,34,0,10000,10910
896,Flight,2012,Robert Zemeckis,Denzel Washington,138,0.5,31000000,93749203,7.3,264047,491,449,0,64000,18000,20952
899,Hearts in Atlantis,2001,Scott Hicks,Anthony Hopkins,101,0.5,31000000,24185781,6.9,30339,268,135,96,0,12000,13811
901,Frequency,2000,Gregory Hoblit,Dennis Quaid,118,0.5,31000000,44983704,7.3,81866,510,168,40,0,2000,4045
902,Vacation,2015,John Francis Daley,Chris Hemsworth,99,2.0,31000000,58879132,6.1,66123,219,204,0,28000,26000,40312
903,Get Shorty,1995,Barry Sonnenfeld,Delroy Lindo,105,2.0,30250000,72077000,6.9,62986,150,96,188,0,848,3439
905,The Vow,2012,Michael Sucsy,Channing Tatum,104,0.5,30000000,125014030,6.8,145852,164,214,23,32000,17000,18322
906,Extraordinary Measures,2010,Tom Vaughan,Harrison Ford,106,2.0,31000000,11854694,6.5,14281,64,126,12,0,11000,17560
908,Lee Daniels' The Butler,2013,Lee Daniels,Alex Pettyfer,132,0.5,30000000,116631310,7.2,87665,323,304,304,41000,15000,20035
909,Dodgeball: A True Underdog Story,2004,Rawson Marshall Thurber,Gary Cole,92,0.5,20000000,114324072,6.7,185338,392,191,43,0,989,4730
911,Ace Ventura: When Nature Calls,1995,Steve Oedekerk,Bruce Spence,90,0.5,30000000,108360000,6.3,160321,178,59,176,0,531,2203
912,The Princess Diaries,2001,Garry Marshall,Anne Hathaway,111,2.0,37000000,108244774,6.2,94049,301,108,0,0,11000,13645
913,The First Wives Club,1996,Hugh Wilson,Stockard Channing,103,2.0,26000000,105444419,6.2,31817,117,50,37,0,944,3143
915,District 9,2009,Neill Blomkamp,Sharlto Copley,112,0.5,30000000,115646235,8.0,531737,1262,472,662,22000,2000,2639
916,The SpongeBob SquarePants Movie,2004,Stephen Hillenburg,Scarlett Johansson,87,0.5,30000000,85416609,7.0,58906,186,89,47,0,19000,20097
917,Mystic River,2003,Clint Eastwood,John Doman,138,0.5,25000000,90135191,8.0,338415,935,229,16000,12000,616,1942
919,Analyze This,1999,Harold Ramis,Robert De Niro,103,2.0,30000000,106694016,6.7,123940,337,145,11000,0,22000,24333
920,27 Dresses,2008,Anne Fletcher,Judy Greer,111,0.5,30000000,76806312,6.1,124501,154,175,98,0,2000,2978
924,Up in the Air,2009,Jason Reitman,J.K. Simmons,108,0.5,25000000,83813460,7.4,270238,452,391,655,19000,24000,35209
925,About Schmidt,2002,Alexander Payne,Hope Davis,125,0.5,30000000,65010106,7.2,107557,612,217,729,0,442,1556
926,Warm Bodies,2013,Jonathan Levine,Cory Hardrict,98,0.5,35000000,66359959,6.9,184641,326,452,129,81000,303,337
927,Looper,2012,Rian Johnson,Joseph Gordon-Levitt,119,0.5,30000000,66468315,7.4,428916,667,589,0,75000,23000,37387
929,Babe,1995,Chris Noonan,Miriam Margolyes,91,0.5,30000000,66600000,6.8,94435,182,79,108,5000,405,1185
930,Hope Springs,2012,David Frankel,Meryl Streep,100,2.0,30000000,63536011,6.3,34258,178,234,64,0,11000,19420
931,Forgetting Sarah Marshall,2008,Nicholas Stoller,Mila Kunis,118,0.5,30000000,62877175,7.2,217507,325,253,89,0,15000,16758
932,Four Brothers,2005,John Singleton,Josh Charles,109,2.0,45000000,74484168,6.9,109894,340,123,309,0,1000,2740
933,Baby Mama,2008,Michael McCullers,Tina Fey,99,2.0,30000000,60269340,6.0,34079,97,145,5,0,2000,6930
937,13 Going on 30,2004,Gary Winick,Jennifer Garner,98,0.5,37000000,56044241,6.1,122187,339,119,56,0,3000,6742
939,Message in a Bottle,1999,Luis Mandoki,Robin Wright,131,0.5,55000000,52799004,6.1,28942,223,85,43,0,18000,19815
944,The Curse of the Were-Rabbit,2005,Steve Box,Mark Gatiss,85,0.5,30000000,56068547,7.5,98160,307,209,9,0,567,1145
945,P.S. I Love You,2007,Richard LaGravenese,Gerard Butler,126,0.5,30000000,53680848,7.1,167967,243,131,98,20000,18000,18726
946,Atonement,2007,Joe Wright,Benedict Cumberbatch,123,0.5,30000000,50921738,7.8,192930,581,316,456,12000,19000,20499
947,Letters to Juliet,2010,Gary Winick,Vanessa Redgrave,105,0.5,30000000,53021560,6.5,74630,156,159,56,13000,898,1026
949,Sicario,2015,Denis Villeneuve,Edgar Arreola,121,2.0,30000000,46875468,7.6,196217,461,478,777,59000,455,1467
950,Southpaw,2015,Antoine Fuqua,Jake Gyllenhaal,124,0.5,30000000,52418902,7.5,147128,277,305,845,44000,15000,16881
951,Drag Me to Hell,2009,Sam Raimi,Bojana Novakovic,99,0.5,30000000,42057340,6.6,158354,691,397,0,11000,2000,5642
952,The Age of Adaline,2015,Lee Toland Krieger,Harrison Ford,112,0.5,25000000,42478175,7.2,93767,209,214,43,34000,11000,15327
953,Secondhand Lions,2003,Tim McCanlies,Haley Joel Osment,111,0.5,30000000,41407470,7.6,43378,292,82,23,0,3000,9638
954,Step Up 3D,2010,Jon M. Chu,Alyson Stoner,107,0.5,30000000,42385520,6.2,47297,86,138,209,16000,2000,4059
956,Stranger Than Fiction,2006,Marc Forster,Will Ferrell,113,0.5,38000000,40137776,7.6,186977,529,253,395,13000,8000,8362
957,30 Days of Night,2007,David Slade,Danny Huston,113,0.5,32000000,39568996,6.6,138435,527,304,171,0,430,814
958,The Cabin in the Woods,2012,Drew Goddard,Chris Hemsworth,95,0.5,30000000,42043633,7.0,277172,986,634,246,66000,26000,29551
962,Hanna,2011,Joe Wright,Jessica Barden,111,0.5,30000000,40247512,6.8,159198,438,417,456,38000,157,257
964,Larry Crowne,2011,Tom Hanks,Tom Hanks,98,0.5,30000000,35565975,6.1,49205,184,218,15000,0,15000,16827
966,Take the Lead,2006,Liz Friedlander,Alfre Woodard,118,0.5,30000000,34703228,6.7,21767,127,101,3,0,1000,3797
967,Gridiron Gang,2006,Phil Joanou,Dwayne Johnson,125,0.5,30000000,38432823,6.9,33067,134,85,21,0,12000,15811
969,9,2009,Shane Acker,Martin Landau,79,0.5,30000000,31743332,7.1,111117,245,263,30,13000,940,1594
970,Side Effects,2013,Steven Soderbergh,Channing Tatum,106,0.5,30000000,32154410,7.1,148327,274,450,0,29000,17000,18469
971,Winnie the Pooh,2011,Stephen J. Anderson,Craig Ferguson,63,0.5,30000000,26687172,7.3,15600,55,162,15,0,759,1002
973,Bulworth,1998,Warren Beatty,Warren Beatty,108,0.5,30000000,26525834,6.8,21998,227,110,631,0,631,1023
974,Get on Up,2014,Tate Taylor,Tika Sumpter,139,0.5,30000000,30513940,6.9,15843,104,165,150,11000,521,2060
975,One True Thing,1998,Carl Franklin,Meryl Streep,127,2.0,30000000,23209440,7.0,9283,112,64,73,592,11000,12785
978,Deliver Us from Evil,2014,Scott Derrickson,Olivia Munn,118,0.5,30000000,30523568,6.2,54447,201,242,301,18000,2000,5697
981,The Five-Year Engagement,2012,Nicholas Stoller,Alison Brie,131,2.0,30000000,28644770,6.2,78974,141,232,89,11000,2000,3479
983,The Next Three Days,2010,Paul Haggis,Olivia Wilde,133,0.5,35000000,21129348,7.4,146364,237,239,549,27000,10000,11799
985,Assault on Precinct 13,2005,Jean-Franois Richet,Brian Dennehy,109,0.5,20000000,19976073,6.3,65979,220,152,25,999,954,3148
986,The Replacement Killers,1998,Antoine Fuqua,Mira Sorvino,96,2.0,30000000,18967571,6.1,23345,167,105,845,629,978,3072
989,Love & Other Drugs,2010,Edward Zwick,Jake Gyllenhaal,112,0.5,30000000,32357532,6.7,143368,215,219,380,24000,15000,31278
991,North Country,2005,Niki Caro,Jeremy Renner,126,2.0,35000000,18324242,7.3,32815,214,155,51,0,10000,20563
995,Pride and Glory,2008,Gavin O'Connor,Jennifer Ehle,130,0.5,30000000,15709385,6.7,53053,132,154,149,0,1000,5101
998,Wicker Park,2004,Paul McGuigan,Jessica Par,114,0.5,30000000,12831121,7.0,44979,298,98,118,0,489,679
999,Fright Night,2011,Craig Gillespie,Grace Phipps,106,0.5,30000000,18298649,6.4,85024,242,358,44,23000,596,1393
1000,The New World,2005,Terrence Malick,Christian Bale,150,0.5,30000000,12712093,6.7,70771,671,222,0,0,23000,27829
1003,The Last Stand,2013,Jee-woon Kim,Zach Gilford,107,2.0,45000000,12026670,6.4,114241,258,376,419,24000,971,1643
1005,Chasing Liberty,2004,Andy Cadiff,Annabella Sciorra,101,0.5,23000000,12189514,6.1,30092,129,65,3,0,448,842
1007,An Unfinished Life,2005,Lasse Hallstrm,Morgan Freeman,108,2.0,30000000,8535575,7.0,24033,152,107,529,0,11000,11519
1008,The Imaginarium of Doctor Parnassus,2009,Terry Gilliam,Andrew Garfield,123,0.5,40000000,7689458,6.8,126307,210,292,0,19000,10000,11769
1010,Antitrust,2001,Peter Howitt,Tyler Labine,109,2.0,30000000,10965209,6.1,25558,221,123,29,0,779,1297
1012,Dead Man Down,2013,Niels Arden Oplev,Dominic Cooper,118,2.0,30000000,10880926,6.5,54147,127,217,76,0,3000,4253
1013,The Merchant of Venice,2004,Michael Radford,Al Pacino,131,2.0,18000000,3752725,7.1,29715,161,117,53,0,14000,16252
1014,Miss Potter,2006,Chris Noonan,Emily Watson,88,0.5,30000000,2975649,7.0,23864,142,124,108,0,876,1518
1016,The Assassination of Jesse James by the Coward Robert Ford,2007,Andrew Dominik,Brad Pitt,160,0.5,30000000,3904982,7.5,136104,415,273,181,0,11000,22516
1017,Machine Gun Preacher,2011,Marc Forster,Gerard Butler,129,0.5,30000000,537580,6.8,52972,124,134,395,21000,18000,19620
1018,Walk the Line,2005,James Mangold,Sandra Ellis Lafferty,153,0.5,28000000,119518352,7.9,188637,815,291,446,11000,523,1383
1019,Keeping the Faith,2000,Edward Norton,Lisa Edelstein,128,2.0,30000000,37036404,6.4,44816,259,148,0,0,955,5404
1021,Frost/Nixon,2008,Ron Howard,Toby Jones,122,0.5,35000000,18593156,7.7,88682,241,302,2000,0,2000,6161
1024,Mumford,1999,Lawrence Kasdan,Zooey Deschanel,112,2.0,28000000,4554569,6.9,8134,123,65,759,209,11000,17873
1025,The Jacket,2005,John Maybury,Jennifer Jason Leigh,94,0.5,29000000,6301131,7.1,92850,263,161,11,0,1000,5085
1027,Along Came a Spider,2001,Lee Tamahori,Morgan Freeman,104,0.5,60000000,74058698,6.3,59232,317,133,93,0,11000,17109
1029,Taking Woodstock,2009,Ang Lee,Imelda Staunton,120,2.0,30000000,7443007,6.7,24663,71,210,0,0,579,1500
1030,Miracle,2004,Gavin O'Connor,Eddie Cahill,135,0.5,28000000,64371181,7.5,36636,289,129,149,0,639,1845
1031,Dawn of the Dead,2004,Zack Snyder,Ty Burrell,110,0.5,26000000,58885635,7.4,194422,1057,287,0,7000,3000,10438
1032,The Royal Tenenbaums,2001,Wes Anderson,Bill Murray,110,0.5,21000000,52353636,7.6,209133,962,220,0,0,13000,14609
1033,Identity,2003,James Mangold,Clea DuVall,91,0.5,30000000,51475962,7.3,177828,714,136,446,11000,1000,3969
1034,Last Vegas,2013,Jon Turteltaub,Robert De Niro,105,2.0,28000000,63910583,6.6,106755,173,222,226,27000,22000,35694
1036,Serendipity,2001,Peter Chelsom,Lilli Lavine,82,0.5,28000000,49968653,6.9,85423,374,122,23,12000,11,37
1038,Safe Haven,2013,Lasse Hallstrm,David Lyons,115,0.5,28000000,71346930,6.7,78008,160,184,529,23000,576,1554
1040,No Reservations,2007,Scott Hicks,Zo Kravitz,104,2.0,28000000,43097652,6.3,59068,128,171,96,0,943,3497
1041,Kick-Ass,2010,Matthew Vaughn,Elizabeth McGovern,117,0.5,30000000,48043505,7.7,435864,801,447,905,36000,553,2357
1044,Rob Roy,1995,Michael Caton-Jones,Liam Neeson,139,0.5,28000000,31600000,6.9,34427,126,44,105,0,14000,16125
1045,3 Days to Kill,2014,McG,Connie Nielsen,123,0.5,28000000,30688364,6.2,69355,211,211,368,10000,933,1286
1046,We Own the Night,2007,James Gray,Robert Duvall,117,2.0,21000000,28563179,6.9,72693,199,222,115,0,3000,3681
1049,"Mystery, Alaska",1999,Jay Roach,Scott Grimes,119,0.5,28000000,8888143,6.7,22250,123,74,116,913,738,2171
1053,Our Brand Is Crisis,2015,David Gordon Green,Dominic Flores,107,2.0,28000000,6998324,6.1,11476,50,125,234,0,1000,3944
1055,Kundun,1997,Martin Scorsese,Tenzin Thuthob Tsarong,134,0.5,28000000,5532301,7.0,21606,117,85,17000,0,2,4
1056,How to Lose Friends & Alienate People,2008,Robert B. Weide,James Corden,110,2.0,27000000,2775593,6.5,61269,98,135,53,0,480,858
1057,Kick-Ass 2,2013,Jeff Wadlow,Chlo Grace Moretz,103,0.5,28000000,28751715,6.6,202967,378,350,65,36000,17000,19168
1059,My Sister's Keeper,2009,Nick Cassavetes,Jason Patric,109,2.0,30000000,49185998,7.4,74476,184,148,415,15000,673,1775
1062,Notes on a Scandal,2006,Richard Eyre,Phil Davis,92,0.5,15000000,17508670,7.4,64625,281,220,14,0,386,646
1063,Rendition,2007,Gavin Hood,J.K. Simmons,122,2.0,27500000,9664316,6.8,47203,197,131,151,0,24000,50950
1065,Divine Secrets of the Ya-Ya Sisterhood,2002,Callie Khouri,Ellen Burstyn,116,2.0,27000000,69586544,6.0,15352,199,93,144,0,1000,3845
1066,Kiss the Girls,1997,Gary Fleder,Morgan Freeman,115,0.5,27000000,60491560,6.6,50653,143,83,39,0,11000,14322
1069,About a Boy,2002,Chris Weitz,Sharon Small,101,0.5,30000000,40566655,7.1,144021,391,158,129,0,66,74
1072,Anonymous,2011,Roland Emmerich,Vanessa Redgrave,130,2.0,30000000,4463292,6.9,34488,136,288,776,15000,898,2452
1073,Dark City,1998,Alex Proyas,Rufus Sewell,111,0.5,27000000,14337579,7.7,156929,624,222,295,14000,3000,4696
1074,The Duchess,2008,Saul Dibb,Dominic Cooper,110,2.0,13500000,13823741,6.9,61777,140,194,10,0,3000,6420
1075,The Newton Boys,1998,Richard Linklater,Matthew McConaughey,123,2.0,27000000,10297897,6.0,8309,39,63,0,315,11000,11969
1076,Case 39,2009,Christian Alvart,Bradley Cooper,109,0.5,27000000,13248477,6.2,60555,174,167,22,0,14000,15790
1078,Martian Child,2007,Menno Meyjes,Oliver Platt,106,0.5,27000000,7486906,6.8,17436,71,118,43,0,1000,2495
1080,Money Monster,2016,Jodie Foster,Julia Roberts,98,0.5,27000000,41008532,6.7,19611,103,268,0,0,8000,10894
1081,Formula 51,2001,Ronny Yu,Meat Loaf,93,2.0,28000000,5204007,6.3,42876,167,95,31,0,783,1044
1082,Flawless,1999,Joel Schumacher,Robert De Niro,112,0.5,15000000,4485485,6.4,14612,105,78,541,0,22000,46022
1083,Mindhunters,2004,Renny Harlin,LL Cool J,101,0.5,27000000,4476235,6.4,49405,226,127,212,2000,1000,4186
1085,The Statement,2003,Norman Jewison,Charlotte Rampling,120,2.0,23000000,763044,6.2,4257,52,54,278,188,844,3286
1087,Freaky Friday,2003,Mark Waters,Jamie Lee Curtis,97,2.0,26000000,110222438,6.1,96693,271,129,70,0,2000,3984
