movie_title,title_year,genres,plot_keywords,movie_imdb_link,director_name,actor_1_name,actor_2_name,actor_3_name,color,duration,language,country,facenumber_in_poster,aspect_ratio,content_rating,budget,gross,imdb_score,num_voted_users,num_user_for_reviews,num_critic_for_reviews,director_facebook_likes,movie_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes
Barbershop 2: Back in Business,2004,Comedy|Drama,barbecue|barbershop|blaxploitation|marriage|politics,http://www.imdb.com/title/tt0337579/?ref_=fn_tt_tt_1,Kevin Rodney Sullivan,Harry Lennix,Sean Patrick Thomas,Kenan Thompson, Black and White,106,English,USA,4,1.85,PG-13,18000000,64955956,5.7,10104,69,50,8,265,748,656,521,3956
Bad Santa,2003,Comedy|Crime|Drama,bartender|christmas|christmas eve|department store|drink,http://www.imdb.com/title/tt0307987/?ref_=fn_tt_tt_1,Terry Zwigoff,Bernie Mac,Tony Cox,Alex Borstein,Color,98,English,USA,2,1.85,R,18000000,60057639,7.1,107815,485,195,72,10000,1000,624,566,3151
Austin Powers: International Man of Mystery,1997,Comedy|Crime,cartoon on tv|reference to frankenstein|reference to jimi hendrix|scene during end credits|surrealism,http://www.imdb.com/title/tt0118655/?ref_=fn_tt_tt_1,Jay Roach,Will Ferrell,Charles Napier,Robert Wagner,Color,68,English,USA,2,2.35,PG-13,17000000,53868030,7,183425,425,129,116,0,8000,503,481,10557
My Big Fat Greek Wedding 2,2016,Comedy|Family|Romance,family restaurant|greek|remarriage|suburb|wedding,http://www.imdb.com/title/tt3760922/?ref_=fn_tt_tt_1,Kirk Jones,Nia Vardalos,Louis Mandylor,Joey Fatone,Color,94,English,USA,10,2.35,PG-13,18000000,59573085,6.1,13562,103,156,52,19000,567,312,261,2259
Diary of a Wimpy Kid: Rodrick Rules,2011,Comedy|Family,brother|middle school|no opening credits|photograph|school,http://www.imdb.com/title/tt1650043/?ref_=fn_tt_tt_1,David Bowers,Zachary Gordon,Rachael Harris,Fran Kranz,Color,99,English,USA,2,2.35,PG,21000000,52691009,6.6,18727,45,103,42,0,975,569,557,3567
Predator,1987,Action|Horror|Sci-Fi,box office hit|commando|death of friend|jungle|severed arm,http://www.imdb.com/title/tt0093773/?ref_=fn_tt_tt_1,John McTiernan,Shane Black,Bill Duke,Carl Weathers,Color,107,English,USA,1,1.85,R,15000000,59735548,7.8,290949,629,217,323,13000,1000,1000,794,4223
Amadeus,1984,Biography|Drama|History|Music,1800s|classical composer|composer|first person narration|opera,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,Milos Forman,Jeffrey Jones,F. Murray Abraham,Tom Hulce,Color,180,English,USA,0,2.35,R,18000000,51600000,8.3,270790,549,134,869,16000,692,670,521,3076
Prom Night,2008,Horror|Mystery,friend|hotel|killer|murder|prom,http://www.imdb.com/title/tt0926129/?ref_=fn_tt_tt_1,Nelson McCormick,Ming-Na Wen,Scott Porter,Collins Pennie,Color,89,English,USA,0,2.35,PG-13,20000000,43818159,3.9,27664,260,146,29,1000,2000,690,458,4867
Mean Girls,2004,Comedy,bully|clique|high school|high school girl|secret,http://www.imdb.com/title/tt0377092/?ref_=fn_tt_tt_1,Mark Waters,Tina Fey,Amy Poehler,Neil Flynn,Color,97,English,USA,4,1.85,PG-13,17000000,86049418,7,245989,554,159,70,0,2000,1000,625,5032
Under the Tuscan Sun,2003,Comedy|Drama|Romance,author|book|vacation|villa|writer,http://www.imdb.com/title/tt0328589/?ref_=fn_tt_tt_1,Audrey Wells,Raoul Bova,Lindsay Duncan,Mario Monicelli,Color,113,English,USA,1,1.85,PG-13,18000000,43601508,6.7,35718,317,111,22,0,727,171,148,1310
Gosford Park,2001,Drama|Mystery,country house|murder|producer|servant|shooting party,http://www.imdb.com/title/tt0280707/?ref_=fn_tt_tt_1,Robert Altman,Kristin Scott Thomas,Bob Balaban,Tom Hollander,Color,131,English,UK,0,2.35,R,19800000,41300105,7.3,65201,651,187,500,0,1000,559,555,3261
Peggy Sue Got Married,1986,Comedy|Drama|Fantasy|Romance,alternate history|alternate timeline|divorce|high school|reunion,http://www.imdb.com/title/tt0091738/?ref_=fn_tt_tt_1,Francis Ford Coppola,Nicolas Cage,Kathleen Turner,Joan Allen,Color,103,English,USA,0,1.85,PG-13,18000000,41382841,6.3,27149,96,44,0,0,12000,899,805,14672
Birdman or (The Unexpected Virtue of Ignorance),2014,Comedy|Drama|Romance,actor|artist|broadway play|replacement|stage,http://www.imdb.com/title/tt2562232/?ref_=fn_tt_tt_1,Alejandro G. Irritu,Emma Stone,Naomi Watts,Merritt Wever,Color,119,English,USA,8,1.85,R,18000000,42335698,7.8,395087,1101,588,0,114000,15000,6000,529,21668
Blue Jasmine,2013,Drama,congenital liar|mental breakdown|self deception|snob|talking to oneself,http://www.imdb.com/title/tt2334873/?ref_=fn_tt_tt_1,Woody Allen,Sally Hawkins,Charlie Tahan,Andrew Dice Clay,Color,98,English,USA,1,2.35,PG-13,18000000,33404871,7.3,150082,384,415,11000,36000,594,268,218,1353
United 93,2006,Drama|History|Thriller,flight|passenger|plane|september 11 2001|terrorist,http://www.imdb.com/title/tt0475276/?ref_=fn_tt_tt_1,Paul Greengrass,Christian Clemenson,David Alan Basche,Susan Blommaert,Color,111,English,USA,0,2.35,R,15000000,31471430,7.6,83374,828,279,521,0,97,68,64,313
Honey,2003,Drama|Music|Romance,choreographer|dance|dancer|dancing|hip hop,http://www.imdb.com/title/tt0322589/?ref_=fn_tt_tt_1,Bille Woodruff,Christian Monzon,Mekhi Phifer,Romeo Miller,Color,94,English,USA,2,1.85,PG-13,25000000,30222640,5.3,36666,144,97,23,0,2000,1000,582,4868
Glory,1989,Drama|History|War,army|black soldier|military uniform|prejudice|u.s. civil war,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,Edward Zwick,Denzel Washington,Morgan Freeman,Matthew Broderick,Color,122,English,USA,3,1.85,R,18000000,26830000,7.9,101889,365,60,380,0,18000,11000,2000,32930
Spy Hard,1996,Action|Comedy,1990s|dentist|hit with a door|martial arts|museum,http://www.imdb.com/title/tt0117723/?ref_=fn_tt_tt_1,Rick Friedberg,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,Color,81,English,USA,2,1.85,PG-13,18000000,26906039,5.3,29621,76,27,8,588,844,456,341,2653
The Fog,1980,Fantasy|Horror,california|fog|leper|lighthouse|ship,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,John Carpenter,Jamie Lee Curtis,Hal Holbrook,Janet Leigh,Color,89,English,USA,0,2.35,R,1000000,21378000,6.8,46492,335,212,0,7000,2000,826,606,4877
Soul Surfer,2011,Biography|Drama|Family|Sport,christian|christian film|shark|surfer|surfing,http://www.imdb.com/title/tt1596346/?ref_=fn_tt_tt_1,Sean McNamara,Dennis Quaid,Chris Brochu,Craig T. Nelson,Color,106,English,USA,1,2.35,PG,18000000,43853424,7.1,35514,114,110,80,15000,2000,795,723,5024
Observe and Report,2009,Comedy|Crime|Drama,male pubic hair|mall|police detective|pubic hair|security guard,http://www.imdb.com/title/tt1197628/?ref_=fn_tt_tt_1,Jody Hill,Collette Wolfe,Celia Weston,Dan Bakkedahl,Color,86,English,USA,1,2.35,R,18000000,23993605,5.8,52467,248,190,62,0,390,258,59,727
Conan the Destroyer,1984,Action|Adventure|Fantasy,gods|princess|queen|rescue|wizard,http://www.imdb.com/title/tt0087078/?ref_=fn_tt_tt_1,Richard Fleischer,Mako,Olivia d'Abo,Grace Jones,Color,103,English,USA,1,2.35,PG,18000000,26400000,5.8,62009,109,77,130,2000,691,476,406,2481
Raging Bull,1980,Biography|Drama|Sport,boxing|domestic violence|hot temper|jealousy|rage,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,Martin Scorsese,Robert De Niro,Cathy Moriarty,Frank Vincent, Black and White,121,English,USA,1,1.85,R,18000000,45250,8.3,235133,494,151,17000,0,22000,394,356,23008
Love Happens,2009,Drama|Romance,florist|motivational speaker|self help guru|seminar|widower,http://www.imdb.com/title/tt0899106/?ref_=fn_tt_tt_1,Brandon Camp,Judy Greer,Sasha Alexander,Frances Conroy,Color,109,English,USA,0,1.85,PG-13,18000000,22927390,5.6,25344,77,111,7,0,2000,980,827,4947
Young Sherlock Holmes,1985,Adventure|Fantasy|Mystery|Thriller,cult|death|delusion|girl|sherlock holmes,http://www.imdb.com/title/tt0090357/?ref_=fn_tt_tt_1,Barry Levinson,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,Color,109,English,USA,1,1.85,PG-13,18000000,4250320,6.8,14870,86,64,272,0,155,144,124,605
Fame,2009,Comedy|Drama|Musical|Romance,new york|performing arts|school|student|teacher,http://www.imdb.com/title/tt1016075/?ref_=fn_tt_tt_1,Kevin Tancharoen,Kelsey Grammer,Kay Panabaker,Megan Mullally,Color,123,English,USA,0,2.35,PG,18000000,22452209,5,14062,82,134,64,0,808,720,637,5734
127 Hours,2010,Adventure|Biography|Drama|Thriller,alone|aron ralston|based on autobiography|canyon|survival,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,Danny Boyle,James Franco,Treat Williams,Kate Burton,Color,94,English,USA,0,1.85,R,18000000,18329466,7.6,279179,440,450,0,63000,11000,642,223,11984
Small Time Crooks,2000,Comedy|Crime,apartment building|crook|new york city|three word title|written and directed by cast member,http://www.imdb.com/title/tt0196216/?ref_=fn_tt_tt_1,Woody Allen,Woody Allen,Jon Lovitz,Michael Rapaport,Color,94,English,USA,0,1.85,PG,18000000,17071230,6.7,31169,192,128,11000,812,11000,11000,975,23283
Center Stage,2000,Drama|Music|Romance,ballet|dance|dancer|dancing|love,http://www.imdb.com/title/tt0210616/?ref_=fn_tt_tt_1,Nicholas Hytner,Amanda Schull,Susan May Pratt,Ethan Stiefel,Color,115,English,USA,2,2.35,PG-13,18000000,17174870,6.7,15817,210,68,13,0,757,220,111,1201
Love the Coopers,2015,Comedy,christmas|family dinner|husband wife conflict|husband wife kiss|large family,http://www.imdb.com/title/tt2279339/?ref_=fn_tt_tt_1,Jessie Nelson,Olivia Wilde,Alex Borstein,Timothe Chalamet,Color,107,English,USA,13,2.35,PG-13,17000000,26284475,5.7,9051,68,97,24,0,10000,566,85,10691
Catch That Kid,2004,Comedy|Crime,caper|computer genius|dog|heist|security chief,http://www.imdb.com/title/tt0337917/?ref_=fn_tt_tt_1,Bart Freundlich,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,Color,91,English,USA,0,1.85,PG,18000000,16702864,5.2,8023,49,54,38,591,17000,632,362,18711
Life as a House,2001,Drama,cancer|construction|house|house construction|neighbor,http://www.imdb.com/title/tt0264796/?ref_=fn_tt_tt_1,Irwin Winkler,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,Color,125,English,USA,0,2.35,R,18000000,15561627,7.5,39105,359,99,34,0,16000,4000,1000,21622
Steve Jobs,2015,Biography|Drama,apple computer|box office flop|computer|dialogue driven|father daughter relationship,http://www.imdb.com/title/tt2080374/?ref_=fn_tt_tt_1,Danny Boyle,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,Color,122,English,UK,0,2.35,R,30000000,17750583,7.2,93548,307,412,0,23000,14000,13000,816,28933
"I Love You, Beth Cooper",2009,Comedy|Romance,cheerleader|party|popular girl|speech|valedictorian,http://www.imdb.com/title/tt1032815/?ref_=fn_tt_tt_1,Chris Columbus,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,Color,102,English,Canada,1,1.85,PG-13,18000000,14793904,5.3,28209,80,107,0,0,946,800,529,4072
Youth in Revolt,2009,Comedy|Drama|Romance,alter ego|boarding school|love|masturbation|teen movie,http://www.imdb.com/title/tt0403702/?ref_=fn_tt_tt_1,Miguel Arteta,Steve Buscemi,Ari Graynor,Fred Willard,Color,90,English,USA,2,1.85,R,18000000,15281286,6.5,64646,105,192,44,0,12000,904,729,16004
The Legend of the Lone Ranger,1981,Action|Adventure|Western,ambush|hero|masked hero|outlaw|texas ranger,http://www.imdb.com/title/tt0082648/?ref_=fn_tt_tt_1,William A. Fraker,Jason Robards,Richard Farnsworth,Michael Horse,Color,98,English,USA,0,2.35,PG,18000000,8000000,5,1400,41,25,28,346,372,262,102,927
The Tailor of Panama,2001,Drama|Thriller,canal|panama|president|spy|tailor,http://www.imdb.com/title/tt0236784/?ref_=fn_tt_tt_1,John Boorman,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,Color,109,English,USA,0,2.35,R,18000000,13491653,6.1,23728,213,104,128,813,11000,2000,1000,14995
Getaway,2013,Action|Crime|Thriller,die hard scenario|earth viewed from space|race against time|race car driver|title at the end,http://www.imdb.com/title/tt2167202/?ref_=fn_tt_tt_1,Courtney Solomon,Rebecca Budig,Paul Freeman,Bruce Payne,Color,90,English,USA,1,2.35,PG-13,18000000,10494494,4.4,19586,109,146,31,4000,210,193,179,676
The Ice Storm,1997,Drama,ice|ice storm|storm|thanksgiving|virgin,http://www.imdb.com/title/tt0119349/?ref_=fn_tt_tt_1,Ang Lee,Joan Allen,Kate Burton,Henry Czerny,Color,112,English,USA,0,1.85,R,18000000,7837632,7.5,46396,287,124,0,0,805,223,177,1466
And So It Goes,2014,Comedy|Drama|Romance,four word title|grandparent grandchild relationship|reference to facebook|reference to the internet|singer,http://www.imdb.com/title/tt2465146/?ref_=fn_tt_tt_1,Rob Reiner,Yaya DaCosta,Annie Parisse,Frankie Valli,Color,94,English,USA,2,2.35,PG-13,18000000,15155772,5.7,8895,48,107,0,3000,712,341,197,1673
Troop Beverly Hills,1989,Adventure|Comedy,beverly hills hotel|divorce|girl|troop|wilderness,http://www.imdb.com/title/tt0098519/?ref_=fn_tt_tt_1,Jeff Kanew,Craig T. Nelson,Shelley Long,Kellie Martin,Color,105,English,USA,1,1.37,PG,18000000,8508843,5.5,7470,35,11,6,0,723,422,371,2368
Being Julia,2004,Comedy|Drama|Romance,diva|marriage|open marriage|revenge|social climber,http://www.imdb.com/title/tt0340012/?ref_=fn_tt_tt_1,Istvn Szab,Miriam Margolyes,Shaun Evans,Juliet Stevenson,Color,104,English,Canada,2,1.85,R,18000000,7739049,7.1,10680,112,93,109,562,405,204,202,847
9 Weeks,1986,Drama|Romance,blindfolded woman|control|male dominance|sex game|sex in public,http://www.imdb.com/title/tt0091635/?ref_=fn_tt_tt_1,Adrian Lyne,David Margulies,Karen Young,Kim Chan,Color,112,English,USA,0,1.85,R,17000000,6734844,5.9,29591,118,38,213,0,567,67,45,711
Dragonslayer,1981,Action|Adventure|Fantasy,apprentice|dragon|king|kingdom|wizard,http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1,Matthew Robbins,Ian McDiarmid,Ralph Richardson,Albert Salmi,Color,108,English,USA,0,2.35,PG,18000000,6000000,6.7,10832,102,60,25,0,1000,115,94,1263
Labor Day,2013,Drama,baseball|baseball practice|escaped convict|neighbor|tied to a chair,http://www.imdb.com/title/tt1967545/?ref_=fn_tt_tt_1,Jason Reitman,J.K. Simmons,Kate Winslet,Brooke Smith,Color,111,English,USA,1,2.35,PG-13,18000000,13362308,6.9,31898,111,217,655,0,24000,14000,405,39307
RocknRolla,2008,Action|Crime|Thriller,accountant|finger gun|homosexual|killed in an elevator|painting,http://www.imdb.com/title/tt1032755/?ref_=fn_tt_tt_1,Guy Ritchie,Tom Hardy,Gerard Butler,Tom Wilkinson,Color,114,English,UK,4,2.35,R,18000000,5694401,7.3,194489,192,209,0,12000,27000,18000,1000,46944
Megaforce,1982,Action|Sci-Fi,dictator|electronic music score|one word title|secret headquarters|soldier,http://www.imdb.com/title/tt0084316/?ref_=fn_tt_tt_1,Hal Needham,Barry Bostwick,Michael Beck,Henry Silva,Color,99,English,USA,2,1.85,PG,20000000,5333658,3.5,2541,54,40,379,0,456,278,251,1356
Hamlet,1996,Drama,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,Kenneth Branagh,Julie Christie,Brian Blessed,Richard Briers,Color,150,English,UK,0,2.2,PG-13,18000000,4414535,7.8,30618,224,85,0,0,597,591,401,1645
Anything Else,2003,Comedy|Romance,love at first sight|new york city|sex|teacher|writer,http://www.imdb.com/title/tt0313792/?ref_=fn_tt_tt_1,Woody Allen,Woody Allen,Stockard Channing,Fisher Stevens,Color,108,English,USA,2,2.35,R,18000000,3203044,6.4,25165,155,128,11000,827,11000,944,922,14843
The Railway Man,2013,Biography|Drama|Romance|War,japanese soldier|physical torture|pow camp|prisoner of war|reference to adolf hitler,http://www.imdb.com/title/tt2058107/?ref_=fn_tt_tt_1,Jonathan Teplitzky,Jeremy Irvine,Colin Firth,Sam Reid,Color,116,English,Australia,2,2.35,R,18000000,4435083,7.1,27882,119,186,6,18000,25000,14000,212,39463
The Wraith,1986,Action|Horror|Romance|Sci-Fi|Thriller,arizona|death|gang|police|sheriff,http://www.imdb.com/title/tt0092240/?ref_=fn_tt_tt_1,Mike Marvin,Clint Howard,Randy Quaid,Nick Cassavetes,Color,93,English,USA,2,1.85,R,2700000,3500000,5.9,10082,100,70,28,0,1000,695,415,2319
The Salton Sea,2002,Crime|Drama|Mystery|Thriller,male in shower|murder|neighbor neighbor relationship|remote control car|sex scene,http://www.imdb.com/title/tt0235737/?ref_=fn_tt_tt_1,D.J. Caruso,Adam Goldberg,Meat Loaf,Anthony LaPaglia,Color,103,English,USA,0,1.85,R,18000000,676698,7.2,26730,180,79,154,2000,1000,783,576,4094
Superbad,2007,Comedy,black comedy|bromance|party|school|teen comedy,http://www.imdb.com/title/tt0829482/?ref_=fn_tt_tt_1,Greg Mottola,Emma Stone,Joe Lo Truglio,Kevin Corrigan,Color,119,English,USA,2,1.85,R,20000000,121463226,7.6,422606,555,256,99,0,15000,833,778,17584
Step Up 2: The Streets,2008,Drama|Music|Musical|Romance,audition|dance|kissing in the rain|student|subway,http://www.imdb.com/title/tt1023481/?ref_=fn_tt_tt_1,Jon M. Chu,Cassie Ventura,Mari Koda,Luis Rosado,Color,98,English,USA,2,1.85,PG-13,23000000,58006147,6.2,67653,108,97,209,0,158,152,129,816
Hoodwinked!,2005,Action|Animation|Comedy|Crime|Family,animal|axe|red riding hood|wolf|woodsman,http://www.imdb.com/title/tt0443536/?ref_=fn_tt_tt_1,Cory Edwards,Anne Hathaway,Chazz Palminteri,Jim Belushi,Color,80,English,USA,1,1.85,PG,17500000,51053787,6.5,45900,247,142,19,0,11000,979,854,14385
Hotel Rwanda,2004,Drama|History|War,atrocity|central africa|ethnic warfare|united nations peace keeping force|united nations soldier,http://www.imdb.com/title/tt0395169/?ref_=fn_tt_tt_1,Terry George,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,Color,121,English,UK,1,2.35,PG-13,17500000,23472900,8.1,264533,609,187,83,12000,3000,460,242,4142
Black Nativity,2013,Drama|Family|Music|Musical,based on stage musical|based on the bible|christmas|color in title|nativity,http://www.imdb.com/title/tt1425922/?ref_=fn_tt_tt_1,Kasi Lemmons,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall,Color,93,English,USA,5,2.35,PG,17500000,7017178,4.4,1633,17,40,148,0,549,269,170,1373
City of Ghosts,2002,Crime|Drama|Thriller,bag over head|buddhist temple|loss of friend|male bonding|nightclub,http://www.imdb.com/title/tt0164003/?ref_=fn_tt_tt_1,Matt Dillon,Kirk Fox,Shawn Andrews,Rob Campbell,Color,116,English,USA,0,1.85,R,17500000,325491,6,4387,67,38,0,204,109,67,50,245
The Others,2001,Fantasy|Horror|Thriller,curtain|haunting|mansion|mute|xeroderma pigmentosum,http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1,Alejandro Amenbar,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,Color,101,English,USA,0,1.85,PG-13,17000000,96471845,7.6,268581,1109,239,448,20000,482,203,83,956
Aliens,1986,Action|Adventure|Sci-Fi,alien|human versus alien|monster|rescue mission|space marine,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,James Cameron,Michael Biehn,Carrie Henn,Jenette Goldstein,Color,154,English,USA,1,1.85,R,18500000,85200000,8.4,488537,1076,250,0,18000,2000,626,604,4228
Let's Be Cops,2014,Comedy,friendship between men|impersonating a police officer|mobster|party|police officer,http://www.imdb.com/title/tt1924435/?ref_=fn_tt_tt_1,Luke Greenfield,Rob Riggle,Damon Wayans Jr.,James D'Arcy,Color,104,English,USA,1,1.85,R,17000000,82389560,6.5,106820,147,129,42,14000,839,756,613,3627
Sideways,2004,Adventure|Comedy|Drama|Romance,actor|california|teacher|wine|writer,http://www.imdb.com/title/tt0375063/?ref_=fn_tt_tt_1,Alexander Payne,Virginia Madsen,Patrick Gallagher,M.C. Gainey,Color,126,English,USA,0,1.85,R,12000000,71502303,7.5,149966,835,285,729,0,912,306,284,2170
Halloween,1978,Horror|Thriller,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,John Carpenter,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,Color,101,English,USA,0,2.35,R,300000,47000000,7.9,157857,1191,318,0,12000,2000,742,598,4400
Good Boy!,2003,Comedy|Drama|Family|Fantasy|Sci-Fi,dog|friend|neighborhood|planet|star,http://www.imdb.com/title/tt0326900/?ref_=fn_tt_tt_1,John Hoffman,Liam Aiken,Molly Shannon,Kevin Nealon,Color,87,English,USA,1,1.85,PG,17000000,37566230,5.1,3407,48,52,9,309,818,636,503,2164
The Best Man Holiday,2013,Comedy|Drama,childbirth|christmas|gay slur|infidelity|punched in the nose,http://www.imdb.com/title/tt2083355/?ref_=fn_tt_tt_1,Malcolm D. Lee,Harold Perrineau,Sanaa Lathan,Eddie Cibrian,Color,123,English,USA,5,2.35,R,17000000,70492685,6.7,11600,64,56,92,7000,1000,886,849,5306
Smokin' Aces,2006,Action|Crime|Drama|Thriller,casino|fbi|mafia|mob hit|sniper,http://www.imdb.com/title/tt0475394/?ref_=fn_tt_tt_1,Joe Carnahan,Ryan Reynolds,Common,Alex Rocco,Color,109,English,UK,0,2.35,R,17000000,35635046,6.7,121058,482,186,248,3000,16000,988,968,19410
Saw 3D: The Final Chapter,2010,Horror|Mystery,blood splatter|self help guru|sequel|support group|survivor,http://www.imdb.com/title/tt1477076/?ref_=fn_tt_tt_1,Kevin Greutert,Costas Mandylor,Gina Holden,Betsy Russell,Color,90,English,Canada,0,1.85,R,20000000,45670855,5.6,67978,279,178,52,12000,723,346,298,1978
40 Days and 40 Nights,2002,Comedy|Romance,female on male rape|lent|male rear nudity|masturbation|sex,http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1,Michael Lehmann,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,Color,96,English,USA,0,1.85,R,17000000,37939782,5.6,62272,207,140,36,2000,1000,580,486,3294
A Night at the Roxbury,1998,Comedy|Music|Romance,1990s|bar|car accident|nightclub|whipped cream,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,John Fortenberry,Will Ferrell,Chris Kattan,Dan Hedaya,Color,82,English,USA,2,1.85,PG-13,17000000,30324946,6.2,48458,239,63,12,0,8000,357,281,9271
Beastly,2011,Drama|Fantasy|Romance,love|maid|newscaster|student|tutor,http://www.imdb.com/title/tt1152398/?ref_=fn_tt_tt_1,Daniel Barnz,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,Color,86,English,USA,1,2.35,PG-13,17000000,27854896,5.6,64190,129,148,33,16000,15000,976,583,17396
The Hills Have Eyes,2006,Horror,desert|horror movie remake|murder of family|rape|slasher,http://www.imdb.com/title/tt0454841/?ref_=fn_tt_tt_1,Alexandre Aja,Dan Byrd,Greg Nicotero,Vinessa Shaw,Color,108,English,USA,0,2.35,R,15000000,41777564,6.4,129719,855,265,192,0,1000,1000,580,4500
Dickie Roberts: Former Child Star,2003,Comedy,dental braces|dental headgear|former child star|panties|white panties,http://www.imdb.com/title/tt0325258/?ref_=fn_tt_tt_1,Sam Weisman,Kevin Grevioux,Jenna Boyd,Mary McCormack,Color,98,English,USA,1,2.35,PG-13,17000000,22734486,5.6,11815,117,75,39,320,593,517,428,2713
"McFarland, USA",2015,Biography|Drama|Sport,coach|high school|place name in title|school|student,http://www.imdb.com/title/tt2097298/?ref_=fn_tt_tt_1,Niki Caro,Morgan Saylor,Valente Rodriguez,Diana Maria Riva,Color,129,English,USA,0,2.35,PG,17000000,44469602,7.4,23480,83,113,51,21000,427,234,89,952
Pitch Perfect,2012,Comedy|Music|Romance,a cappella|competition|dj|female protagonist|lesbian,http://www.imdb.com/title/tt1981677/?ref_=fn_tt_tt_1,Jason Moore,Anna Kendrick,Hana Mae Lee,Ben Platt,Color,112,English,USA,4,1.85,PG-13,17000000,64998368,7.2,213898,250,223,36,36000,10000,751,746,12676
Summer Catch,2001,Comedy|Drama|Romance|Sport,baseball|baseball player|night|rivalry|summer,http://www.imdb.com/title/tt0234829/?ref_=fn_tt_tt_1,Michael Tollin,Marc Blucas,Brian Dennehy,Bruce Davison,Color,108,English,USA,2,1.85,PG-13,34000000,19693891,4.9,12993,107,50,19,476,973,954,505,3344
A Simple Plan,1998,Crime|Drama|Thriller,bag of money|found money|minnesota|screenplay adapted by author|snow,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,Sam Raimi,Gary Cole,Bridget Fonda,Chelcie Ross,Color,121,English,UK,1,1.85,R,17000000,16311763,7.5,50656,416,125,0,0,989,888,244,2365
They,2002,Horror|Mystery|Thriller,darkness|friend|kiss|nightmare|suicide,http://www.imdb.com/title/tt0283632/?ref_=fn_tt_tt_1,Robert Harmon,Alexander Gould,Ethan Embry,Marc Blucas,Color,89,English,USA,0,2.35,PG-13,17000000,12693621,4.8,10885,271,81,11,814,1000,982,973,4060
Larry the Cable Guy: Health Inspector,2006,Comedy|Romance,diner|food poisoning|health inspector|restaurant|undercover,http://www.imdb.com/title/tt0462395/?ref_=fn_tt_tt_1,Trent Cooper,Thomas F. Wilson,Larry the Cable Guy,Megyn Price,Color,89,English,USA,2,1.33,PG-13,4000000,15655665,3.1,9104,112,37,0,110,690,400,323,2135
The Adventures of Elmo in Grouchland,1999,Adventure|Comedy|Family|Fantasy|Musical,based on tv series|blanket|box office flop|rescue|sesame street,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,Gary Halvorson,Vanessa Williams,Kevin Clash,Caroll Spinney,Color,73,English,USA,0,1.85,G,17000000,11634458,5.8,2045,37,44,11,339,1000,436,142,2020
Brooklyn's Finest,2009,Crime|Drama|Thriller,catholic|corrupt cop|new york city|police detective|police officer killed,http://www.imdb.com/title/tt1210042/?ref_=fn_tt_tt_1,Antoine Fuqua,Don Cheadle,Lili Taylor,Armando Riesco,Color,132,English,USA,1,2.35,R,17000000,27154426,6.7,52852,138,197,847,4000,3000,960,625,6317
Evil Dead,2013,Horror,book of the dead|demon|h.p. lovecraft|lesbian kiss|promise,http://www.imdb.com/title/tt1288558/?ref_=fn_tt_tt_1,Fede Alvarez,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,Color,96,English,USA,0,2.35,R,17000000,54239856,6.5,125016,789,543,201,70000,394,150,58,673
My Life in Ruins,2009,Comedy|Romance,greece|greek|tour bus|tour guide|tourist,http://www.imdb.com/title/tt0865559/?ref_=fn_tt_tt_1,Donald Petrie,Nia Vardalos,Harland Williams,Rachel Dratch,Color,98,English,USA,1,1.85,PG-13,17000000,8662318,5.9,15033,75,112,80,0,567,503,399,2016
